,0,1,2
0,одменов,615.0,1.0
1,крутейшего,683.0,1.0
2,проверит,684.0,1.0
3,угольную,684.0,1.0
4,росприроднадзор,684.0,1.0
5,пыль,684.0,1.0
6,слонёноки,684.0,1.0
7,порт,684.0,1.0
8,замечательной,725.0,1.0
9,вздумайте,725.0,1.0
10,проиндексировать,844.0,1.0
11,батареяхи,844.0,1.0
12,указов,844.0,1.0
13,передал,844.0,1.0
14,видеотрансляция,850.0,1.0
15,проведет,876.0,1.0
16,отрасль,876.0,1.0
17,вручит,876.0,1.0
18,причастности,876.0,1.0
19,названа,876.0,1.0
20,госнаграды,876.0,1.0
21,минтруд,876.0,1.0
22,столетию,878.0,1.0
23,олимпийскую,878.0,1.0
24,солженицына,878.0,1.0
25,медали,878.0,1.0
26,лишил,878.0,1.0
27,разбираются,878.0,1.0
28,дагестанской,878.0,1.0
29,публикуют,886.0,1.0
30,яици,908.0,1.0
31,православные,908.0,1.0
32,раздадут,908.0,1.0
33,опцию,908.0,1.0
34,исаакию,908.0,1.0
35,фактчека,908.0,1.0
36,разоблачила,924.0,1.0
37,расселении,924.0,1.0
38,аварийного,924.0,1.0
39,отстающие,924.0,1.0
40,минстрой,924.0,1.0
41,доставки,924.0,1.0
42,тестирует,924.0,1.0
43,ервис,938.0,1.0
44,открепительные,957.0,1.0
45,извлекли,959.0,1.0
46,вождение,959.0,1.0
47,запаниковал,959.0,1.0
48,минкульт,970.0,1.0
49,джулиана,970.0,1.0
50,удостоверение,970.0,1.0
51,выдвинут,970.0,1.0
52,позадавать,983.0,1.0
53,чудес,985.0,1.0
54,окунулся,985.0,1.0
55,рэпчик,985.0,1.0
56,тонн,985.0,1.0
57,одмена,985.0,1.0
58,попросит,1004.0,1.0
59,думе,1004.0,1.0
60,россиейи,1004.0,1.0
61,обязательство,1021.0,1.0
62,изданной,1021.0,1.0
63,желаемый,1021.0,1.0
64,явке,1021.0,1.0
65,илон,1027.0,1.0
66,напавшего,1027.0,1.0
67,маск,1027.0,1.0
68,управление,1027.0,1.0
69,нейроинтерфейсови,1027.0,1.0
70,иностранцам,1030.0,1.0
71,маниле,1030.0,1.0
72,диссертации,1030.0,1.0
73,отель,1030.0,1.0
74,космический,1030.0,1.0
75,испытала,1030.0,1.0
76,снятии,1030.0,1.0
77,снаряжения,1032.0,1.0
78,вымогательстве,1032.0,1.0
79,покорил,1032.0,1.0
80,курской,1032.0,1.0
81,скалолаз,1032.0,1.0
82,заказом,1034.0,1.0
83,доработать,1034.0,1.0
84,бурятии,1034.0,1.0
85,перенесли,1038.0,1.0
86,подачу,1038.0,1.0
87,туве,1038.0,1.0
88,водного,1038.0,1.0
89,сирот,1038.0,1.0
90,промзону,1038.0,1.0
91,гайд,1038.0,1.0
92,жалоб,1038.0,1.0
93,химатаке,1043.0,1.0
94,приёме,1043.0,1.0
95,налаживания,1043.0,1.0
96,резолюцию,1043.0,1.0
97,рабочую,1043.0,1.0
98,испытательный,1043.0,1.0
99,узаконить,1043.0,1.0
100,участницпрямая,1052.0,1.0
101,экспертов,1052.0,1.0
102,моряков,1059.0,1.0
103,кубов,1059.0,1.0
104,жанров,1071.0,1.0
105,организовывают,1071.0,1.0
106,уютный,1071.0,1.0
107,училищ,1071.0,1.0
108,поделившимся,1071.0,1.0
109,диско,1071.0,1.0
110,играть,1071.0,1.0
111,лицаи,1081.0,1.0
112,распознавание,1081.0,1.0
113,платежей,1081.0,1.0
114,влиятельных,1083.0,1.0
115,терроризм,1083.0,1.0
116,принят,1083.0,1.0
117,правительственным,1086.0,1.0
118,хакерских,1086.0,1.0
119,ростовом,1086.0,1.0
120,свело,1087.0,1.0
121,вооружен,1096.0,1.0
122,выстрелов,1096.0,1.0
123,тренировки,1096.0,1.0
124,конгресса,1096.0,1.0
125,членам,1096.0,1.0
126,республиканец,1096.0,1.0
127,бейсбольному,1096.0,1.0
128,виргиния,1096.0,1.0
129,конгрессмен,1096.0,1.0
130,полуавтоматической,1096.0,1.0
131,букмекери,1099.0,1.0
132,координатор,1099.0,1.0
133,памятную,1100.0,1.0
134,карлова,1100.0,1.0
135,отозвал,1100.0,1.0
136,стандартам,1100.0,1.0
137,росэнергобанка,1100.0,1.0
138,доску,1100.0,1.0
139,продадут,1102.0,1.0
140,культе,1102.0,1.0
141,рассыпавшему,1105.0,1.0
142,чеченским,1105.0,1.0
143,силовикам,1105.0,1.0
144,байкеру,1105.0,1.0
145,ельцина,1106.0,1.0
146,заемщиков,1106.0,1.0
147,водительские,1106.0,1.0
148,наина,1106.0,1.0
149,святыми,1106.0,1.0
150,пошлины,1106.0,1.0
151,прекращает,1108.0,1.0
152,стратегические,1108.0,1.0
153,пентагоном,1108.0,1.0
154,налогами,1108.0,1.0
155,важную,1116.0,1.0
156,пропустил,1116.0,1.0
157,сегодняшние,1116.0,1.0
158,жениться,1125.0,1.0
159,хищения,1125.0,1.0
160,смягчить,1125.0,1.0
161,достигшим,1125.0,1.0
162,десятый,1126.0,1.0
163,генерал,1126.0,1.0
164,сугробов,1126.0,1.0
165,грин,1127.0,1.0
166,связывает,1127.0,1.0
167,числа,1127.0,1.0
168,жизненно,1127.0,1.0
169,медизделий,1127.0,1.0
170,кабмин,1127.0,1.0
171,прикуривания,1128.0,1.0
172,свечи,1128.0,1.0
173,белгороде,1128.0,1.0
174,импичмент,1128.0,1.0
175,взыскать,1130.0,1.0
176,мурада,1130.0,1.0
177,кировлес,1130.0,1.0
